pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"Aging signature"	2.12890273599778e-132	7.50863994986418e-129	3.01165757537339	0.999474237644585	2.77831008906853	68	ID1 HSPA1B JUNB MORC4 GADD45B CDKN1A ZFP36 SPIB NOTCH4 IER3 HBB ESR2 MXRA7 ACHE KLF4 EGR1 PDZK1IP1 ASAH2B IRF7 BOD1 ARNT2 SOCS3 IER2 FOSB IER5 SERTAD1 NR4A1 CCDC142 PHLDB1 BIRC3 CACHD1 ARIH2OS HSPA1A NBL1 PRKG1 FOSL1 DUSP1 PTGS2 WFDC1 JUN SFMBT2 THRA CHST10 PLK3 SYNE2 ATF3 RHOB MX2 ZMAT3 ZNF688 PTMS MAFF PTPN23 NR4A2 MTRNR2L1 KMT5C CD69 TMEM203 P2RY1 EMILIN2 GTF2IRD2B IFI6 LIMK1 FOS MYPOP TGFB1I1 NDUFV2 SAT1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	9.27579013995504e-29	1.63578559118107e-25	1.39518713415833	0.849944569404108	2.67050913275839	164	JUNB GADD45B CDKN1A ZFP36 IER3 KLF4 EGR1 SOCS3 IER2 FOSB IER5 NR4A1 BIRC3 FOSL1 DUSP1 PTGS2 JUN ATF3 RHOB MAFF NR4A2 CD69 CXCL2 FOS SAT1 BTG2 TNFAIP3 NFKBIA PPP1R15A BHLHE40 SOD2 MCL1 SLC2A3 PER1 CD83 CCNL1 GADD45A IL1B BCL2A1 IRF1 ID2 KLF9 DRAM1 BTG1 ZBTB10 REL IRS2
Garcia_quiescence	1.05652326035021e-11	1.24211917975174e-08	0.875325132024659	0.64070795810959	2.14094448242109	291	JUNB ZFP36 IER2 IER5 NR4A1 DUSP1 JUN ATF3 MAFF NDUFV2 SAT1 BTG2 TNFAIP3 RNASET2 NFKBIA MVP MIDN NFKBIZ MCL1 SLC2A3 CSRNP1 PER1 CCNL1 GADD45A PPP1R15B JUND TSPYL2 NLRP1 IRF1 CLK1 ID2 STX16 SERTAD2 PELI1 ETV3 CNST HELB ZFP36L2 BTG1 MBOAT7 ZBTB10 TPM2 RAB37 VAMP2 ZBTB4 UBC RAB3D NAMPT DDIT4 SGSM2 FMNL1 PCDH9 RIPK2 MYCT1 FBXO33 MLXIP SKI IDS KLF10 ATG16L2 TGOLN2 FAM214B MDK GNA13 LSR RNASEK PNRC1 YPEL5 TSC22D2 PRR7 GABARAPL1 WDR26 AKAP17A IRGQ MAP3K8 ZNF394 CRELD1 FOXO3 SRGN DUSP2 MLLT3 CRIM1 PHF1 BAG3 COL9A2 PLB1 PLA2G6 EHBP1L1 TMEM140 GAB2 SH3RF1
WP_NUCLEAR_RECEPTORS_METAPATHWAY	1.33641579413167e-10	1.1783846264756e-07	0.826657301178302	0.685846294170686	2.17965351816168	182	JUNB GADD45B EGR1 BIRC3 HSPA1A PTGS2 JUN MAFF SCNN1A ARL5B TNFAIP3 RGS2 DNAJB1 BHLHE40 SLC2A3 GSTM3 IL1B JUND SERTAD2 BLVRB NR1H3 IRS2 STAT3 CDKN1C CPT2 HSP90AA1 SLC39A3
"AP-1 complex"	6.69844776905707e-09	4.72508505629286e-06	0.761460801445585	0.950368803041265	2.10212522251387	17	JUNB FOSB FOSL1 JUN ATF3 MAFF FOS JUND ATF4
WP_IL18_SIGNALING	1.60065930033047e-08	9.40920892044262e-06	0.73376198835648	0.645510773401186	2.06144917604793	191	IER3 SOCS3 NR4A1 BIRC3 PTGS2 JUN ATF3 PTMS CXCL2 FOS BTG2 TNFAIP3 NFKBIA S1PR4 NFKBIZ CD83 MMP2 HSPB1 MAP2K7 IL1B IRF1 TSHZ1 NR1H3 REL TIMP3 NSMF PHF20 GRN ANP32A BAD ELAVL1 SNTB1 BIN1 NACA ACACB RASA3
HALLMARK_P53_PATHWAY	2.2574512811721e-08	1.13743295267057e-05	0.73376198835648	0.682999596197465	2.12755052474726	154	CDKN1A IER3 KLF4 IER5 JUN PLK3 ATF3 ZMAT3 FOS SAT1 BTG2 PPP1R15A HSPA4L NDRG1 GADD45A TSPYL2 ZBTB16 HEXIM1 SESN1 DRAM1 BTG1 DDIT4 ISCU RETSAT CTSF PLXNB2 TXNIP ALOX15B CCND3 RCHY1 S100A4 DDB2 PRMT2 PTPN14 RAP2B APAF1
WP_SPINAL_CORD_INJURY	7.99790709899405e-08	3.526077292269e-05	0.704975715167238	0.779963335981059	2.15871437753784	66	ZFP36 EGR1 NR4A1 PTGS2 RHOB CXCL2 FOS IL1R1 BTG2 SELP GADD45A IL1B
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.22364915152439e-07	3.59650879785545e-05	0.690132458796796	0.650305452033077	2.05851615410818	176	CDKN1A IRF7 SOCS3 PTGS2 MX2 CD69 TNFAIP3 NFKBIA MVP RSAD2 SELP ARL4A SOD2 TNFSF10 XAF1 MX1 IRF1 LY6E PELI1 BST2 PIM1 BTG1 CD74 IFI44L IFITM3 LATS2 STAT3 ZNFX1 NAMPT IFIT1 RIPK2 VAMP5 LCP2 DDX60 TXNIP PTPN6 CFH IFITM2 SERPING1 HLA-DQA1 IFI44 PLA2G4A PARP14 PNP ADAR
PID_AP1_PATHWAY	1.14072627806549e-07	3.59650879785545e-05	0.704975715167238	0.825322209434553	2.1649286996794	46	JUNB EGR1 FOSB FOSL1 DUSP1 JUN ATF3 FOS JUND MYB COPS5
REACTOME_SYNTHESIS_OF_DNA	1.21698770871769e-07	3.59650879785545e-05	0.690132458796796	-0.648326410593832	-2.19440261233021	116	ORC1 GINS2 DNA2 MCM4 PSMD9 MCM7 PSMD14 PRIM2 PSMD1 PCNA PSMC2 RPA1 MCM3 PSMA3 RFC4 MCM6 PSMD11 ANAPC7 PSMA2 FEN1 RBX1 PSMA5 PSMD2 CDC27 PSMB4 GMNN ANAPC4 ORC3 MCM2 PSMC4 RFC3 MCM5 CDC45 PSMF1 PSMD8 CCNE1 ANAPC10 LIG1 SKP2
