gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ZFP36,810.167080566351,2.4151449657573,0.318817794071402,4.14070133529307e-16,4.75352513291644e-12
JUNB,402.738673335979,2.75132534789421,0.420616791746979,2.26504358917406e-14,1.30013502018591e-10
DUSP1,1402.67011304168,1.5163525295898,0.249866063422307,1.01081960569714e-11,3.86806969113439e-08
ID1,251.891508121174,3.49746703896835,0.976287986855359,1.61643540379224e-10,4.63916960888373e-07
BIRC3,169.033650195861,1.62725570318148,0.288417370689263,2.34831177351154e-10,5.38299015455299e-07
FOSB,718.318080690878,1.70680495985509,0.305027370089834,2.81340948844233e-10,5.38299015455299e-07
EGR1,441.663575167693,1.90524006920544,0.356988495799852,3.42238355418998e-10,5.61270902887157e-07
NOTCH4,24.7458594105854,2.2609818987404,0.4482825365527,1.97457923865738e-09,2.83352120747334e-06
JUN,888.37651093041,1.45208481642012,0.295360468953385,8.68032717442611e-09,1.10722395513791e-05
ZDHHC11,6.58229745494912,0.0592517472743642,0.183236735150231,1.0284173839118e-08,1.17837015861271e-05
GADD45B,119.219601332365,2.58973515767369,0.704614072998243,1.12910032619685e-08,1.17837015861271e-05
MPO,104.122628288418,-1.8880629499143,0.38574093067396,1.4106707156347e-08,1.34954165129053e-05
GNG11,129.216764832459,-2.9540339576091,0.725578832800362,1.52859661165438e-08,1.34986839244556e-05
HSPA1B,143.921172585147,2.8161164433064,0.696227393154265,3.95089526167222e-08,3.23973411457122e-05
IER2,417.808047494881,1.72567817863844,0.423164933986753,6.55622193125831e-08,5.01769518472302e-05
PDZK1IP1,34.7077047279242,1.90390497386887,0.417906533350452,1.94735088851653e-07,0.000139722426251061
MORC4,20.3586996511492,2.74485309822514,0.678092373391845,2.80930030637979e-07,0.000179170930651333
ZFAND5,207.864614819192,0.829170371859388,0.184432100484653,2.7212777590093e-07,0.000179170930651333
CCNH,286.016646986162,0.842402508200298,0.188681707316122,3.38763926319624e-07,0.000204684730218384
COL9A3,8.75711491698328,0.0996936584688844,0.214105396358195,5.52600495937924e-07,0.000317192684668368
PPP1R15A,448.088947517043,0.878545784565074,0.207092767922997,9.82891970611276e-07,0.000537314277267498
SAT1,747.120550166679,1.01087702105752,0.246153287810327,1.46961406536841e-06,0.000717803402709657
IRF7,34.0049603590567,1.84782898941031,0.638014434752942,1.4867117730366e-06,0.000717803402709657
NFKBIA,894.240644383751,0.895347874717105,0.213949754287987,1.50063429137907e-06,0.000717803402709657
SPIB,16.4132950021415,2.39510686929697,0.724617539305666,1.61245399764053e-06,0.00074043887571653
SOCS3,93.1277249090196,1.72702305036445,0.449251785870776,1.86404672175192e-06,0.000823048321758154
TG,14.3846110556971,0.0564728007412667,0.181825020688458,3.05038388421805e-06,0.00129697803669715
ALG2,30.2729587147222,-1.56558277800663,0.452619504552316,3.9666964396185e-06,0.00162634554024359
NBL1,51.1471283098141,1.57027305521995,0.496465121319134,4.24713951148238e-06,0.00164197818626033
MCM4,73.0946037790246,-1.09373007703638,0.293631729039424,4.29088376200434e-06,0.00164197818626033
PLAC8,427.628089701355,-0.693149225529014,0.175298262662146,4.66275052161849e-06,0.00172672180607033
IER5,49.6501385319357,1.68629664126971,0.678759308737923,6.08217908138357e-06,0.00205362987806716
KLF4,74.9461174495734,2.00306669800994,0.60426172064373,5.81621040068537e-06,0.00205362987806716
HBB,411.014257607634,2.22033605033576,0.753993405209188,6.02770113761293e-06,0.00205362987806716
CTNNAL1,30.7558954193673,-2.33060062673626,0.759003168593892,6.39082869559409e-06,0.00209619181215486
GTF2IRD2B,36.2770617037362,1.10751585624187,0.315993756226132,7.64180068265532e-06,0.00243688532880231
BOD1,45.6483330927763,1.80091930741125,0.789998320208895,9.07612703310148e-06,0.00267163944461551
CDKN1A,68.5737158324176,2.56595109705217,0.729622925990298,8.76677164036687e-06,0.00267163944461551
SFMBT2,59.1449693263696,1.3733392079065,0.453987411419996,8.86684655779626e-06,0.00267163944461551
IER3,28.5875529291646,2.24228042059984,0.701243695751796,1.0028022920077e-05,0.00280784641762155
ARL4A,184.207323034067,0.830307099494004,0.226369688921776,9.96277788293413e-06,0.00280784641762155
DMC1,18.4504610818193,-1.88522409037261,0.532556448166346,1.07062460107584e-05,0.00292637390960729
CALCOCO2,161.644204767122,-0.54832220585767,0.146043994629205,1.18015648749874e-05,0.00311442702002953
MXRA7,23.531246923312,2.03062248930548,0.863805385150381,1.19368282997647e-05,0.00311442702002953
TPM4,224.541117035861,-0.767816783097916,0.214423462966989,1.46688654004606e-05,0.00374219055105083
ESR2,30.1604546969093,2.08507264112072,0.993023797265244,1.53043069680421e-05,0.00381942269550268
MGRN1,50.0733760310678,-0.996810765261284,0.292175723672776,1.65542452583282e-05,0.00404346245884271
SOD2,408.668872669515,0.706617400078172,0.200368616790003,1.77792578377111e-05,0.00425220583285256
DUSP6,291.473808347474,0.960489386620574,0.27912768333353,1.95662034315406e-05,0.00458408194681808
ARL5B,80.7201360154818,0.986525351218654,0.282747987963536,2.01158429999201e-05,0.00461859755278166
ST8SIA1,35.1650572880619,-1.66397988585218,0.56089339229054,2.05824174558531e-05,0.00463306181163125
XRN1,200.989097971067,-0.855916782243367,0.249067723120159,2.16539001503321e-05,0.00478051487934254
MCM7,220.345764443537,-0.663214091642992,0.185436806175231,2.25705029105335e-05,0.00488885610213064
PTGS1,174.534926089365,0.829007101176698,0.240091107174734,2.42052658352426e-05,0.00514586021830713
FAM177A1,110.631409706474,0.585504627124263,0.164379193766709,2.59980332082616e-05,0.0054264985678335
ABCA6,15.0452076985576,-0.136802649857224,0.262779993765417,2.67068310006553e-05,0.00547490035513434
MME,19.9805419790466,-2.18936780179588,0.679738856902315,2.95033661253526e-05,0.0059420814582289
FOS,3321.94364404547,1.096430660666,0.331675263807243,3.10129022359461e-05,0.00613841582187346
HSPA1A,271.207105507952,1.58300271826621,0.578204400948893,3.43869020014668e-05,0.00669087516909896
ARNT2,14.8664823298384,1.74789663172796,0.561914151957506,4.0387487140691e-05,0.00772747253958554
ARIH2OS,29.5827714670685,1.60188913656221,0.549118218505329,4.1295475913729e-05,0.0077716731719608
IQCA1,27.4169196901383,-1.82917081351942,0.769279162540015,4.2723277214764e-05,0.00791069713589502
IFI6,143.512205227465,1.10656021864127,0.383597688987604,4.49492305446486e-05,0.00819074867702486
MLH1,120.477978135007,-1.06948430498816,0.329472263450546,4.80845546257798e-05,0.00862516698599925
COCH,11.7990583383407,-0.134617015751488,0.260554550450346,4.88396713056908e-05,0.00862583733214354
PTPN23,29.8342166600453,1.18050652880567,0.38441890628319,5.63043576170366e-05,0.00964737351408328
PHLDB1,32.9032561045287,1.63878143267428,0.543615587312092,5.62420075387251e-05,0.00964737351408328
THRA,30.2864501187785,1.35571834625707,0.50785722949998,5.93846566455067e-05,0.0100255273278003
CCDC142,34.2793481187057,1.65298864309265,0.578573717595947,6.29307109792143e-05,0.0101953233877556
INTS12,66.9860570221108,-0.729979381290571,0.229546927648165,6.30547003946555e-05,0.0101953233877556
APOBEC2,5.73161731174228,-0.0756525783541447,0.194078344688376,6.14015710901792e-05,0.0101953233877556
ZDBF2,32.7629626773482,-1.44543316711698,0.494077691862091,6.67644185263404e-05,0.0106452156205887
ATF3,76.3306354439796,1.2910149150684,0.443353876923063,6.83291433694695e-05,0.010745459806596
NFKBIZ,309.306353417705,0.662296873863129,0.207637584964511,6.95808017979649e-05,0.0107944270897383
PTMS,61.72766462369,1.2152611465155,0.695576538598626,7.38267913741025e-05,0.0113004208663293
THBS4,7.74549920263537,-0.0668772644698524,0.188348406416956,8.23848508180137e-05,0.0123377802438737
NR4A1,133.085318731483,1.65548679691013,0.550781066710206,8.27534040747625e-05,0.0123377802438737
RHOBTB2,13.0134224184924,-1.96423991196834,0.85036266496047,8.95248062750127e-05,0.0131762150773993
KLB,12.6019198402925,0.142254231669568,0.2700644606982,9.3940548310944e-05,0.013439020094551
