p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGLL1	0	4.5383779426821	0.921	0.187	0
MPO	0	6.14681612144748	0.796	0.107	0
CRHBP	0	-4.31738448543684	0.149	0.818	0
TNFSF13B	0	2.40248221624889	0.799	0.187	0
CDK6-AS1	0	2.7906795919992	0.69	0.12	0
CDCA7	0	2.70689348529049	0.658	0.096	0
LGALS1	0	3.91682006546761	0.622	0.069	0
FABP5	0	2.23328593861596	0.915	0.366	0
CTSG	0	3.64846526759685	0.609	0.075	0
RNASE2	0	6.30530981687103	0.525	0.01	0
CPA3	0	4.16468385864827	0.542	0.03	0
PCNA	0	2.47011655307339	0.647	0.143	0
MYC	0	2.09030266208777	0.683	0.183	0
MCM7	0	2.01217239341736	0.662	0.174	0
RAB32	0	1.98635767811851	0.658	0.181	0
MGST1	0	1.82135696107545	0.903	0.442	0
DNMT1	0	1.86927524234422	0.609	0.153	0
NASP	0	1.3488212775322	0.843	0.399	0
TYMS	0	3.24597841536075	0.505	0.062	0
MLLT3	0	-3.21408551118766	0.228	0.67	0
HCST	0	1.6378741441237	0.628	0.188	0
ATOX1	0	1.46920114765737	0.645	0.21	0
NME1	0	1.41814266033261	0.869	0.439	0
MZB1	0	1.74447085581062	0.59	0.16	0
IDH2	0	1.251441140443	0.789	0.36	0
PLEK	0	1.26517113301098	0.634	0.21	0
ADA	0	1.48288778195911	0.625	0.202	0
NDUFAB1	0	1.15247520339847	0.826	0.405	0
MRPL12	0	1.25543820363932	0.685	0.265	0
RASGRP2	0	1.41994003493676	0.623	0.204	0
PAICS	0	1.14578479366661	0.701	0.282	0
MRPS26	0	1.40015475842398	0.613	0.194	0
C19orf48P	0	1.12776154695518	0.71	0.294	0
PRAM1	0	1.98707350391145	0.524	0.11	0
MCM3	0	1.73742470308832	0.57	0.157	0
RANBP1	0	1.54346286063792	0.851	0.441	0
P4HB	0	1.45122177616842	0.724	0.315	0
FARSA	0	1.37623153727449	0.609	0.2	0
DCTPP1	0	1.25850218564124	0.677	0.269	0
EIF3A	0	1.09368184041519	0.808	0.402	0
TXNDC17	0	1.24214133414691	0.63	0.224	0
MCM5	0	1.89328315420428	0.525	0.12	0
LSP1	0	1.14410387192434	0.737	0.332	0
PLAC8	0	1.41029273502711	0.952	0.548	0
SYNGR1	0	1.04872640269633	0.711	0.31	0
SLIRP	0	1.14013773783806	0.775	0.376	0
MRPL33	0	1.15077104505478	0.736	0.337	0
MICOS10	0	1.37938662052148	0.66	0.262	0
EEF1E1	0	1.1700871951669	0.634	0.238	0
CDK4	0	1.03093396184294	0.79	0.394	0
SYNCRIP	0	1.13279220805099	0.646	0.252	0
DBI	0	0.955269906387936	0.821	0.427	0
NDUFS6	0	1.06806246217126	0.803	0.41	0
EIF4EBP1	0	1.04968680534684	0.704	0.311	0
CCT5	0	1.04459934352869	0.735	0.345	0
PRKDC	0	1.42138551748052	0.584	0.194	0
POLE3	0	1.25020492388563	0.591	0.201	0
PDCD5	0	1.03222302042287	0.752	0.364	0
USP1	0	1.46119956249764	0.558	0.171	0
SPARC	0	2.5178390135545	0.448	0.062	0
TIMM8B	0	1.01498787051142	0.704	0.318	0
NREP	0	1.19087620789875	0.597	0.212	0
DNPH1	0	1.00935172293135	0.746	0.361	0
GGCT	0	0.94995205176257	0.743	0.358	0
PTRHD1	0	0.831422035572906	0.735	0.352	0
SPNS3	0	2.40354086746918	0.454	0.071	0
IFT25	0	1.02694217464475	0.645	0.263	0
POLR2L	0	1.15979911580004	0.828	0.446	0
NDUFB2	0	1.05175575048749	0.853	0.472	0
IGFBP7	0	1.86304839665319	0.628	0.249	0
HNRNPAB	0	1.30797151563761	0.6	0.221	0
DDX21	0	0.958960309963729	0.73	0.351	0
LSM8	0	1.14254917445869	0.778	0.4	0
CDK6	0	0.788896440329204	0.89	0.513	0
DUT	0	1.5216556555303	0.894	0.517	0
PGAM1	0	1.03179165579768	0.67	0.294	0
HNRNPD	0	1.10601003398269	0.685	0.31	0
NDUFA12	0	0.899064648141468	0.789	0.415	0
SSRP1	0	1.05436393406999	0.614	0.24	0
NOP58	0	0.995107873225218	0.676	0.304	0
VDAC1	0	0.971640406858149	0.79	0.418	0
RUVBL2	0	1.04492015246739	0.627	0.255	0
NDUFB3	0	0.835485720909056	0.73	0.363	0
UQCC2	0	0.981009918700267	0.623	0.256	0
DDX39A	0	1.31298009732479	0.536	0.169	0
CORO1A	0	1.04423994565594	0.733	0.367	0
HELLS	0	2.33048788256117	0.436	0.071	0
EBNA1BP2	0	1.04959420864267	0.608	0.244	0
GINS2	0	3.46037118600551	0.394	0.031	0
PPIH	0	1.24090397116352	0.542	0.18	0
PRDX4	0	1.00767400479587	0.651	0.289	0
