p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HOPX	0	-4.4308606482111	0.104	0.821	0
FCER1A	0	2.77263717581948	0.85	0.238	0
PLEK	0	3.1080289983466	0.767	0.21	0
SPINK2	0	-2.31745098678523	0.432	0.949	0
HPGDS	0	3.50416657001781	0.555	0.069	0
SLC40A1	0	1.9411646976497	0.741	0.273	0
CNRIP1	0	5.79416112058536	0.475	0.013	0
RNF130	0	1.79280076525665	0.813	0.359	0
CTNNBL1	0	2.09915984203596	0.675	0.222	0
PKIG	0	2.49346170278711	0.585	0.132	0
MPP1	0	1.73929740886525	0.734	0.295	0
CPA3	0	4.22846071446372	0.466	0.03	0
PDLIM1	0	2.16333294204342	0.621	0.195	0
HBD	0	3.55109065087257	0.492	0.075	0
GATA1	0	5.19744351932656	0.42	0.014	0
CD52	0	-2.25579738366437	0.423	0.819	0
GLIPR1	0	-2.99704295633035	0.089	0.47	0
CPPED1	0	2.15954277102334	0.525	0.148	0
SELL	0	-1.60398252078698	0.429	0.773	0
ZEB2	0	1.32922820404481	0.629	0.285	0
AVP	0	-4.9902460885154	0.053	0.391	0
TLN1	0	1.33444009492891	0.609	0.28	0
AREG	0	-1.99488276295757	0.349	0.676	0
LSM8	0	1.26077960661213	0.725	0.4	0
MINPP1	0	2.73976396629418	0.386	0.064	0
CRHBP	0	-1.58365314439295	0.496	0.818	0
IFITM3	0	-1.90247926686188	0.27	0.588	0
CDK6	0	0.844030778169542	0.827	0.513	0
SOX4	0	1.26077556367128	0.877	0.567	0
MDK	0	-1.43944883978395	0.327	0.636	0
ZBTB16	0	1.39926157328839	0.485	0.186	0
TPM1	0	1.56459659470023	0.494	0.195	0
PBX1	0	1.1647821736118	0.577	0.279	0
HLA-DQB1	0	-2.4898593634185	0.142	0.438	0
PDZD8	0	1.81670766487378	0.432	0.14	0
FERMT3	0	1.17474032291677	0.583	0.294	0
CD84	0	1.96005733196392	0.388	0.102	0
DEPTOR	0	1.62533081731235	0.426	0.142	0
MIR181A1HG	0	1.95252385670654	0.386	0.104	0
DAD1	0	1.21821942678881	0.858	0.585	0
BST2	0	-1.64297216498155	0.629	0.9	0
EVI2B	0	-1.77539554552266	0.231	0.5	0
HSPB1	0	-1.46505634186306	0.512	0.78	0
TFR2	0	3.27029970074706	0.29	0.029	0
RGS1	0	2.36190269677174	0.378	0.118	0
CD44	0	-1.4394062773773	0.411	0.664	0
VAMP5	0	-1.41981735226192	0.378	0.629	0
RAP1B	0	0.966843725514028	0.797	0.557	0
INO80C	0	1.38536885272164	0.363	0.127	0
CCDC28B	0	1.34602019005914	0.363	0.131	0
GMPR	0	2.28143989001619	0.295	0.064	0
MLLT11	0	1.56047272249896	0.329	0.104	0
PSTPIP2	0	1.47123962083925	0.329	0.109	0
EGFL7	0	-1.13041929672553	0.557	0.775	0
