p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CRHBP	0	-5.4267448979768	0.061	0.818	0
DNTT	0	6.43817696256176	0.767	0.064	0
LGALS1	0	5.75805387465451	0.686	0.069	0
HCST	0	3.03447699290874	0.789	0.188	0
ADA	0	3.04831605350025	0.761	0.202	0
MLLT3	0	-3.7189160536576	0.116	0.67	0
MZB1	0	2.960465998022	0.71	0.16	0
PLP2	0	2.3787580196833	0.76	0.241	0
LSP1	0	2.73951616353984	0.848	0.332	0
SPNS3	0	3.3990762428792	0.57	0.071	0
CORO1A	0	2.52352315275819	0.865	0.367	0
VPREB1	0	5.81566969047906	0.493	0.016	0
ACY3	0	6.89837463309092	0.467	0.012	0
SATB1	0	2.43306972055437	0.627	0.177	0
NREP	0	2.19851975850275	0.653	0.212	0
BLNK	0	7.99650569854111	0.439	0.003	0
LAT2	0	1.86347682063514	0.775	0.343	0
IGLL1	0	3.89836863331367	0.616	0.187	0
CAPG	0	2.19165825139463	0.656	0.232	0
TYROBP	0	3.37274295257871	0.495	0.075	0
IRF8	0	6.25175465484146	0.42	0.01	0
HSPB1	0	-2.40527428342945	0.375	0.78	0
LTB	0	3.9118197653086	0.475	0.082	0
RUNX2	0	3.6341680300015	0.445	0.062	0
SOX4	0	2.21056987513792	0.942	0.567	0
MED13L	0	2.35191195788453	0.483	0.116	0
IL2RG	0	2.02051267502091	0.519	0.153	0
LDLRAD4	0	3.70491934560981	0.381	0.033	0
NKG7	0	3.84473931696945	0.381	0.039	0
C12orf75	0	2.63791495325543	0.416	0.077	0
ITM2C	0	1.47637558452273	0.881	0.554	0
SLC38A1	0	2.17356935163806	0.416	0.098	0
TMIGD2	0	2.2732233236895	0.377	0.085	0
RNASE6	0	6.4382801958357	0.293	0.004	0
NEGR1	0	3.19991751616918	0.314	0.042	0
CD48	0	2.0855825528329	0.343	0.071	0
CYTH4	0	3.57935740399761	0.3	0.032	0
MEF2A	0	3.40681212079482	0.288	0.032	0
PAG1	0	4.7437568154346	0.264	0.011	0
ARL4C	0	4.65997028752323	0.265	0.014	0
BST2	0	-1.71096629203732	0.649	0.9	0
CD164	0	-1.53631598237748	0.642	0.892	0
AFF3	0	2.67725964842012	0.297	0.048	0
LGMN	0	6.26395425402623	0.249	0.004	0
RAB11FIP1	0	2.81111304883973	0.294	0.05	0
FUT7	0	4.18594411920417	0.259	0.015	0
CLNK	0	6.21798195959774	0.237	0.005	0
LY86	0	7.11625810711233	0.233	0.002	0
SCPEP1	0	3.20066234953087	0.26	0.031	0
SRGN	0	-2.29450389318075	0.679	0.908	0
BCL2	0	3.18707243300407	0.249	0.031	0
CCR7	0	7.32681590579064	0.197	0.002	0
ITGAL	0	3.7471714465961	0.211	0.018	0
LPXN	0	4.06903064121376	0.204	0.011	0
PIK3AP1	0	3.54224521186323	0.199	0.017	0
ITGB7	0	6.35337752138071	0.181	0.003	0
CCDC50	0	3.80524424011844	0.189	0.015	0
UBE2E2	0	3.78395504738416	0.185	0.012	0
SDK2	0	3.20553298574277	0.191	0.019	0
STMN1	0	1.55756672092608	0.906	0.747	0
MYLK	0	4.86827177529377	0.161	0.005	0
NIBAN3	0	5.40865504471013	0.159	0.004	0
TESC	0	4.64163113158518	0.161	0.008	0
TNNI2	0	6.49983333086289	0.147	0.002	0
CD2	0	6.36140519307339	0.144	0.002	0
TRIB2	0	6.68503477866781	0.144	0.002	0
RASD1	0	5.29407195111888	0.143	0.005	0
RAB31	0	5.22577183786024	0.14	0.004	0
FOS	0	-1.60002539346601	0.805	0.94	0
MILR1	0	3.64679875939096	0.135	0.009	0
LCK	0	4.38986654315648	0.132	0.007	0
CD3E	0	5.1702157823896	0.13	0.005	0
LINC00865	0	5.13216758177698	0.129	0.004	0
SPIB	0	4.58552168378946	0.129	0.006	0
IL7R	0	5.2107651888511	0.117	0.003	0
KIF17	0	6.38686479468861	0.114	0.001	0
MME	0	6.70438553280935	0.112	0.002	0
SUCNR1	0	6.52287236119746	0.11	0.001	0
NPTX2	0	6.46685498692087	0.111	0.003	0
SHD	0	6.40521179430714	0.1	0.001	0
UMODL1	0	5.05867753137539	0.102	0.003	0
HSP90AB1	0	-0.966783200661654	0.895	0.994	0
CYBB	0	6.48453374865535	0.098	0.001	0
P2RY14	0	6.55570734733493	0.086	0.001	0
EEF1A1	0	-0.898094415577664	0.871	0.953	0
CD180	0	6.63079068728961	0.075	0.001	0
SCN3A	0	7.42194151367729	0.07	0	0
EIF3E	0	-0.927329233368712	0.961	0.993	0
HINT1	0	-0.95008689745123	0.979	0.999	0
TMSB10	0	1.35537643457436	0.994	0.978	0
FTL	0	-0.919320327164382	0.991	0.999	0
FTH1	0	-1.06582996802968	0.993	0.998	0
NACA	0	-0.658139565515029	0.997	1	0
ACTG1	0	1.05837698737195	0.995	0.992	0
FAU	0	-0.603223972532081	0.998	1	0
TPT1	0	-0.9418624825818	0.998	1	0
TMSB4X	0	1.65775616647017	0.998	0.998	0
CDKN2D	1.10479890500501e-307	3.05439943425618	0.229	0.034	1.57323364072714e-303
DUSP4	1.54695027400171e-305	4.77804188634381	0.093	0.003	2.20285719017843e-301
EIF4A2	9.56158998880556e-305	-1.16295105973107	0.806	0.931	1.36157041440591e-300
SPINK2	8.03965739158495e-302	0.97467078136819	0.985	0.949	1.1448472125617e-297
ATP10A	1.20254999814904e-299	5.32005326431387	0.084	0.002	1.71243119736424e-295
ALDH1A1	9.98010758816008e-298	-3.49815146951952	0.105	0.57	1.421167320554e-293
CD79A	3.03596813106936e-297	3.2694371202485	0.233	0.036	4.32321861864276e-293
PDE7A	4.28914630730078e-297	2.2458317515378	0.363	0.085	6.10774434159631e-293
MIR181A1HG	4.90578024111007e-295	2.06902026890076	0.404	0.104	6.98583106334074e-291
CD96	3.56664965364542e-293	4.68884027304463	0.095	0.004	5.07890910679107e-289
CYFIP2	7.21192782059696e-293	2.17006913236587	0.377	0.092	1.02697852165301e-288
EEF1B2	1.69275435498907e-289	-0.771773234754286	0.966	0.997	2.41048220150443e-285
TCF4	2.13576390369986e-287	1.66133689728418	0.721	0.351	3.0413277988686e-283
GINS2	4.10233426888056e-282	2.84727022564051	0.211	0.031	5.84172399888592e-278
FRMD4A	4.88469842603758e-281	5.40391907660744	0.081	0.003	6.95581055867751e-277
SNHG8	1.20436237317832e-280	-0.969441381931532	0.841	0.953	1.71501201940593e-276
SPON2	1.49864263945772e-280	4.1755093691777	0.117	0.008	2.1340671185878e-276
SAMHD1	3.75805674666936e-280	4.16424740051483	0.14	0.013	5.35147280725716e-276
CYBA	8.94889435781227e-279	1.15324502209338	0.915	0.703	1.27432255655247e-274
ACTB	1.298265509001e-278	0.938593319068582	0.991	0.987	1.84873008481742e-274
ANKRD28	1.65117317684229e-272	-1.43770111578872	0.578	0.845	2.35127060382342e-268
MS4A1	1.75048577620138e-272	5.52989207877344	0.072	0.002	2.49269174531077e-268
IQGAP1	3.45121695203026e-270	2.22817258844569	0.327	0.075	4.91453293969109e-266
SLC25A5	4.26117409997296e-270	1.02187130692543	0.915	0.728	6.06791191836149e-266
CLSPN	2.12508285684879e-269	3.33920962942418	0.136	0.012	3.02611798815267e-265
RBM38	2.38144901651945e-268	3.28125584097798	0.168	0.02	3.3911833995237e-264
EPHB6	5.37645608360988e-268	2.84821699969931	0.176	0.022	7.65607346306047e-264
CARHSP1	2.0210775263893e-265	1.83592828738097	0.455	0.139	2.87801439757836e-261
CLU	2.6625839862024e-261	-7.58607862612254	0.008	0.447	3.79151959635221e-257
TNFRSF18	1.03617315969493e-257	4.8035365017363	0.121	0.01	1.47551057940557e-253
HLA-E	2.17512497771494e-252	-1.02482956615731	0.776	0.917	3.09737796826608e-248
EVL	8.72458389364528e-251	1.66212995449414	0.573	0.22	1.24238074645509e-246
SNHG32	5.06509324870756e-250	-0.801452889128694	0.912	0.978	7.21269278615956e-246
