EnsemblID,GeneSym,baseMean,log2FoldChange,lfcSE,WaldStat,pvalue,padj
ENSG00000000003.10,TSPAN6,222.6430789,-0.177054776,0.413805764,-0.427869284,0.668746291,0.840401181
ENSG00000000005.5,TNMD,0,NA,NA,NA,NA,NA
ENSG00000000419.8,DPM1,400.8351744,-0.162223097,0.301834144,-0.537457741,0.590951468,0.794173374
ENSG00000000457.9,SCYL3,920.6150917,0.857315594,0.292981393,2.926177619,0.00343155,0.035697226
ENSG00000000460.12,C1orf112,266.8986254,-0.003684065,0.418117484,-0.008811077,0.992969869,0.996785722
ENSG00000000938.8,FGR,80.67922678,-0.484911225,0.430094956,-1.12745155,0.259551614,NA
ENSG00000000971.11,CFH,1705.380504,0.649018894,0.265541825,2.444130577,0.01452017,0.092449203
ENSG00000001036.9,FUCA2,343.4493562,-0.030227094,0.229400115,-0.13176582,0.895169522,0.957742581
ENSG00000001084.6,GCLC,983.556224,-0.222769422,0.202307213,-1.101144237,0.270833887,0.532116386
ENSG00000001167.10,NFYA,3100.169634,0.274678393,0.229157921,1.198642364,0.230667038,0.489569194
ENSG00000001460.13,STPG1,137.1493554,0.429988698,0.405790777,1.059631522,0.289312267,0.550836686
ENSG00000001461.12,NIPAL3,1775.140643,0.834229026,0.281043306,2.968329109,0.002994235,0.032711188
ENSG00000001497.12,LAS1L,2045.309701,-0.428899289,0.197391922,-2.172831007,0.029793039,0.145378651
ENSG00000001561.6,ENPP4,555.5922306,-1.149641795,0.316880185,-3.628001529,0.000285624,0.007024069
ENSG00000001617.7,SEMA3F,5.672459525,-0.105754877,0.253239362,-0.417608369,NA,NA
ENSG00000001626.10,CFTR,0,NA,NA,NA,NA,NA
ENSG00000001629.5,ANKIB1,1874.350166,0.491161231,0.161817618,3.035276608,0.002403152,0.028391004
ENSG00000001630.11,CYP51A1,44.29262491,-0.148413204,0.402412523,-0.368808612,0.712270385,NA
ENSG00000001631.10,KRIT1,1699.182307,0.466748269,0.187349289,2.491326605,0.012726707,0.084953118
ENSG00000002016.12,RAD52,619.7812346,0.458200296,0.280912352,1.631114807,0.102866097,0.30550555
ENSG00000002079.8,MYH16,0,NA,NA,NA,NA,NA
ENSG00000002330.9,BAD,452.3786559,-0.208650603,0.30522863,-0.683587915,0.494235418,0.725129473
ENSG00000002549.8,LAP3,911.5523634,0.178882615,0.242721186,0.736988057,0.461129613,0.700514163
ENSG00000002586.13,CD99,0,NA,NA,NA,NA,NA
ENSG00000002587.5,HS3ST1,16.19835532,-0.005563265,0.281125813,-0.019789236,0.984211504,NA
ENSG00000002726.15,AOC1,22.29832287,-0.306272029,0.358113216,-0.855237994,0.392419407,NA
ENSG00000002745.8,WNT16,0,NA,NA,NA,NA,NA
ENSG00000002746.10,HECW1,0,NA,NA,NA,NA,NA
ENSG00000002822.11,MAD1L1,945.7040606,0.282249435,0.279525407,1.009745189,0.312617386,0.573562881
ENSG00000002834.13,LASP1,4318.335642,0.293329362,0.156639694,1.872637483,0.061118462,0.224516667
ENSG00000002919.10,SNX11,160.5022119,-0.028089294,0.397898502,-0.070594119,0.943720791,0.976449071
