gene,log2FoldChange,padj
HIST1H4A,0.51,0.0274
AGL,-0.11,0.5493
AGK,0.25,0.2205
FHIT,-0.07,0.6951
NELFB,0.19,0.3935
HSPA9,0.05,0.7350
SSFA2,-0.16,0.3950
CS,-0.10,0.3038
PMM2,-0.22,0.2622
PDCD11,0.23,0.0636
NCBP1,-0.26,0.0407
NT5DC2,0.72,0.0022
PPP4C,0.38,0.0072
PIK3CD,-0.23,0.1178
PIK3CG,-0.34,0.0557
RNF114,-0.14,0.4154
CRBN,-0.15,0.3246
SPTLC2,-0.05,0.7565
SPTLC1,-0.62,0.0012
SCLY,-0.21,0.3392
DIMT1,-0.34,0.0061
C2CD5,-0.02,0.9027
OPA1,-0.29,0.0698
PIK3C3,0.22,0.2653
TRAPPC9,0.34,0.1078
TRAPPC8,-0.40,0.0675
POGLUT1,-0.18,0.2388
TRAPPC4,-0.05,0.7613
ERI1,-0.54,0.0048
ACLY,-0.11,0.4691
CTBP2,0.12,0.4443
TSG101,-0.14,0.3132
ATP2A2,0.21,0.3095
ATP2A3,0.34,0.0288
ALDH3A2,-0.28,0.0922
PNISR,-0.04,0.7647
ITGA5,0.21,0.2069
GTF3C2,0.22,0.1655
GTF3C1,0.17,0.3040
DENND4C,-0.24,0.2614
XPO1,-0.67,0.0001
ZNF451,-0.07,0.6311
XPO7,-0.37,0.0689
GMDS,-0.10,0.5878
TIPRL,-0.08,0.6220
GAR1,-0.38,0.0336
CNOT10,0.11,0.5429
ANAPC1,0.04,0.7921
GART,-0.25,0.0395
ANAPC7,0.05,0.6743
RPS6KA1,-0.19,0.2725
RPS6KA3,-0.30,0.1241
RPS6KA5,0.26,0.3092
ACO2,0.04,0.7699
SFT2D3,0.06,0.7944
PSMD14,-0.31,0.0227
PSMD11,-0.14,0.2441
PSMD10,-0.24,0.0471
PSMD13,-0.10,0.4729
PSMD12,-0.24,0.2496
GIT1,-0.04,0.8264
UTP20,0.00,0.9962
PIK3CB,-0.44,0.0648
C9orf114,0.18,0.1361
LRPAP1,0.14,0.3287
GOLPH3L,-0.37,0.0675
VAPA,-0.18,0.1071
NDUFAF4,-0.07,0.6973
NDUFAF3,0.15,0.2974
NDUFAF2,-0.52,0.0031
EXOSC10,0.13,0.2512
ABHD14B,0.15,0.2685
NECAP2,0.34,0.0089
ARF6,-0.23,0.2269
ARF5,0.10,0.4165
FAHD1,0.35,0.0671
ATE1,-0.09,0.6897
PKLR,0.23,0.3688
MRPL50,-0.03,0.8708
AP3D1,0.16,0.3550
ELL,-0.12,0.5576
MRPL53,0.12,0.4765
TCEA1,-0.11,0.3529
COX4I1,0.11,0.3182
NOL9,0.28,0.2169
PRKAR1A,-0.39,0.0131
PRKAR1B,0.18,0.4785
MOB2,0.22,0.2426
SAR1A,-0.16,0.2857
NOL7,-0.11,0.3627
NOL6,0.10,0.4996
SRPK1,-0.20,0.0907
SRPK2,0.01,0.9396
NIPSNAP1,0.11,0.4069
MPRIP,-0.04,0.8130
SCP2,-0.44,0.0116
CXXC1,0.32,0.0097
CLPTM1,0.17,0.2691
CRTAP,-0.06,0.6446
ACTR10,-0.31,0.0684
HMGB3,-0.08,0.6525
HMGB1,-0.27,0.0503
CHP1,-0.05,0.6307
NADSYN1,0.29,0.0323
RBMXL1,0.03,0.8576
SRBD1,0.03,0.8454
BIN1,0.14,0.5436
BIN2,0.21,0.1982
FRG1,0.02,0.8906
DPYD,-0.13,0.3723
EEA1,-0.28,0.0803
DNM2,0.37,0.0216
CLIP1,-0.21,0.2472
MNDA,-0.30,0.1523
TIMM50,0.21,0.1660
DHRS7B,0.23,0.3169
DCPS,-0.25,0.0641
CD46,-0.22,0.1813
DMTN,0.51,0.0648
RAB21,-0.19,0.3933
RAB24,0.62,0.0000
CALU,-0.25,0.0632
ACTR1B,0.17,0.1836
ACTR1A,-0.06,0.7126
NAP1L1,-0.22,0.1344
WDR75,-0.10,0.5815
WDR77,-0.24,0.0395
PCK2,0.07,0.6679
RPN1,0.06,0.5206
AAAS,0.08,0.4989
PRPF8,-0.06,0.6788
PRPF3,0.37,0.0763
PRPF4,-0.02,0.8869
PRPF6,0.45,0.0006
VPS33A,0.16,0.4156
RELA,0.13,0.3097
HDGF,0.13,0.4497
PIP4K2A,-0.23,0.1514
HMG20A,-0.15,0.3506
HMG20B,-0.01,0.9519
ZMPSTE24,-0.28,0.1910
MRPL39,-0.36,0.0371
RINT1,0.13,0.5958
TBL2,0.31,0.0868
TBL3,0.20,0.1227
SH3BGRL,-0.34,0.0759
THOC2,-0.25,0.1207
THOC6,0.16,0.2911
THOC5,0.17,0.3676
RAB27A,-0.35,0.0681
RFX1,0.44,0.0390
IBA57,0.11,0.6308
ABCE1,-0.34,0.0174
UQCRC2,-0.07,0.6333
DBT,-0.71,0.0032
UQCRC1,0.13,0.1437
RECQL5,0.16,0.3350
COPS8,-0.23,0.1731
RCCD1,0.15,0.4312
ADNP,-0.14,0.4301
NSDHL,0.25,0.1858
COPS3,-0.10,0.4700
PGAM1,0.02,0.9218
SERINC1,-0.16,0.3110
COPS4,-0.10,0.5544
COPS5,-0.19,0.1925
YTHDF3,-0.17,0.2801
PPOX,0.10,0.5107
YTHDF1,0.26,0.1375
ZNF598,0.16,0.5002
TKT,0.17,0.2064
VEZF1,0.02,0.8838
PRKG2,0.37,0.1096
GCA,-0.36,0.0626
TARS2,0.37,0.0964
DPYSL2,-0.43,0.0164
DLD,-0.17,0.3379
ARID2,-0.17,0.2800
NUDT2,-0.03,0.9046
NUDT3,0.44,0.1046
NUDT4,-0.27,0.1846
NTHL1,0.14,0.3998
LARS,0.07,0.5770
DHX40,-0.25,0.0939
NUBP1,-0.10,0.5382
KDM3B,0.01,0.9702
COX15,-0.20,0.1621
BTK,0.02,0.8697
NIF3L1,-0.21,0.2842
MDN1,0.12,0.5279
EPHX2,0.12,0.6412
