pathway	pval	padj	foldEnrichment	overlap	size	overlapGenes
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	6.23627821372851e-22	1.73368534341653e-18	4.54288476589476	54	1498	Abcb1a Ampd3 C4b Cavin2 Cd38 Cntn1 Cpne8 Cytip Dhrs3 Egr1 Fap Gem Ghr Gpr183 Gstm1 Jam2 Kdr Klhl4 Lpar6 Lpl Maf Mef2c Meis2 Mmp14 Mmrn1 Mt1 Ndn Nupr1 Osmr Pdgfd Pgr Plcl1 Plek Plscr4 Ppp1r16b Procr Pros1 Ramp2 Rhoj Runx1t1 Sbspon Selp Serpinb8 Sfrp1 Stom Thbd Tmem176a Tmem215 Tmem47 Tnfsf10 Trim47 Trpc6 Vwf Zfp36
LEE_BMP2_TARGETS_UP	8.99743299948706e-13	1.2506431869287e-09	4.79174861238582	30	789	Abcb1a Acsl4 Alcam Ampd3 Casp12 Clu Ddr1 Dsg2 Gda Ghr Gstm1 Itgb3 Jam2 Jun Lpl Maf Meis2 Muc1 Npdc1 Nupr1 Plek Plscr1 Plscr4 Stom Sult1a1 Thbd Tmem176a Tsc22d1 Vldlr Vwf
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN	2.12862098275148e-12	1.97252211068304e-09	3.1611117518164	45	1794	Abcb1a Adgrg2 Amotl2 Arhgap29 Aspa Cavin2 Clec1a Cpne8 Cxcl16 Cytip Cyyr1 Dhrs3 Efna1 Fhl1 Gipc2 Gpr183 Kcnip3 Kdr Lpar6 Matn4 Mef2c Mt1 Pcdhb16 Pdgfd Phf11d Plscr1 Plscr2 Plscr4 Ppp1r16b Prcp Ramp2 Rbpjl Rdh10 Rhoj Sema7a Slamf1 Sult1a1 Tgm2 Thbd Tmem176a Tmem47 Tnfsf10 Trpc6 Wwtr1 Zswim5
PLASARI_TGFB1_TARGETS_10HR_DN	2.31238359510741e-11	1.60710659859965e-08	8.40153256704981	17	255	Adgrg2 Ampd3 Casp12 Cavin2 Dhrs3 Gstm2 Lpl Mef2c Meis2 Mllt3 Mt1 Plek Plscr2 Runx1t1 Slc14a1 Thbd Tox
LIM_MAMMARY_STEM_CELL_UP	3.8322173107209e-11	2.13071282476082e-08	5.77605363984675	22	480	Arhgef28 Cavin2 Cpne8 Evc Fhl1 Gem Jam2 Kcnip3 Lrrn1 Mef2c Ndn Ntf3 Ppp1r16b Prnp Pros1 Rab34 Rhoj Sbspon Stxbp4 Tmem47 Tox Trpc1
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	6.3867261420141e-11	2.95918311246653e-08	7.8764367816092	17	272	Aldh1a1 Bcl6 Cd9 Cntn1 Cyb561 Ddr1 Fhdc1 Gipc2 Id2 Jun Ocln Perp Ptprk Sfrp1 Tacstd2 Tgm2 Vwf
CUI_TCF21_TARGETS_2_DN	2.13544863530429e-10	8.48078172306561e-08	4.09830856929259	28	861	Abcb1a Acsl4 Arhgap29 Bmpr1a Cavin2 Cd38 Clca3a1 Clec1a Cpne8 Cyyr1 Ehd3 Gabra4 Gem Jam2 Mef2c Myo1e Osmr Plcl1 Plscr1 Plscr2 Plscr4 Ppp1r16b Pros1 Ptger4 Thbd Tm4sf1 Trpc1 Wwtr1
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	8.20303150183021e-10	2.850553446886e-07	5.46737477248361	20	461	Acsl4 Adgrg2 Aldh1a1 Clu Dhrs3 Gadd45g Id2 Lamp2 Lpar6 Ly6e Maf Pdgfd Pla2g4a Plscr1 Plscr2 Pros1 Rdh10 Sult1a1 Tacstd2 Vldlr
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.02991162319149e-09	1.86257270138582e-06	8.35866760497302	13	196	Bcl6 Btg2 Efna1 Egr1 Gem Gpr183 Id2 Jun Plek Ptger4 Serpinb8 Tsc22d1 Zfp36
HALLMARK_COAGULATION	1.01081635609781e-08	2.79580208581821e-06	10.345170698233	11	134	Cd9 Clu Gda Itgb3 Lamp2 Mmp14 Plek Pros1 Rgn Thbd Vwf
